PS C:\iverilog\bin> .\vvp.exe .\elevator_sim
VCD info: dumpfile elevator_wave.vcd opened for output.
---------------------------------------------------------------------------------------------------------------------------
Time(s)| CLK | SW_Fl | Opn | Cls | Floor | Door_Q (1=Opn) | Count | Door_LED (0=ON)
---------------------------------------------------------------------------------------------------------------------------
   0   |  0  |  00   |  0  |  0  |   0   |       0        |   0   |    0
   1   |  1  |  00   |  0  |  0  |   0   |       0        |   0   |    0
   2   |  0  |  00   |  0  |  0  |   0   |       0        |   0   |    0
   3   |  1  |  00   |  0  |  0  |   0   |       0        |   0   |    0
   4   |  0  |  00   |  0  |  0  |   0   |       0        |   0   |    0
   5   |  1  |  00   |  0  |  0  |   0   |       0        |   0   |    0
   6   |  0  |  00   |  0  |  0  |   0   |       0        |   0   |    0
   7   |  1  |  00   |  0  |  0  |   0   |       0        |   0   |    0
   8   |  0  |  00   |  0  |  0  |   0   |       0        |   0   |    0
   9   |  1  |  00   |  0  |  0  |   0   |       0        |   0   |    0
  10   |  0  |  00   |  0  |  0  |   0   |       0        |   0   |    0
  11   |  1  |  00   |  0  |  0  |   0   |       0        |   0   |    0
  12   |  0  |  00   |  0  |  0  |   0   |       0        |   0   |    0
  13   |  1  |  00   |  0  |  0  |   0   |       0        |   0   |    0
  14   |  0  |  00   |  0  |  0  |   0   |       0        |   0   |    0
  15   |  1  |  00   |  0  |  0  |   0   |       0        |   0   |    0
  16   |  0  |  00   |  0  |  0  |   0   |       0        |   0   |    0
  17   |  1  |  00   |  0  |  0  |   0   |       0        |   0   |    0
  18   |  0  |  00   |  0  |  0  |   0   |       0        |   0   |    0
  19   |  1  |  00   |  0  |  0  |   0   |       0        |   0   |    0
  20   |  0  |  00   |  0  |  0  |   0   |       0        |   0   |    0
  21   |  1  |  00   |  0  |  0  |   0   |       0        |   0   |    0
  22   |  0  |  00   |  0  |  0  |   0   |       0        |   0   |    0
  23   |  1  |  00   |  0  |  0  |   0   |       0        |   0   |    0
  24   |  0  |  00   |  0  |  0  |   0   |       0        |   0   |    0
  25   |  1  |  00   |  0  |  0  |   0   |       0        |   0   |    0
  26   |  0  |  00   |  0  |  0  |   0   |       0        |   0   |    0
  27   |  0  |  01   |  0  |  0  |   0   |       0        |   0   |    0
  27   |  1  |  01   |  0  |  0  |   1   |       1        |   0   |    1
  28   |  0  |  01   |  0  |  0  |   1   |       1        |   0   |    1
  29   |  1  |  01   |  0  |  0  |   1   |       1        |   1   |    1
  30   |  0  |  01   |  0  |  0  |   1   |       1        |   1   |    1
  31   |  1  |  01   |  0  |  0  |   1   |       1        |   2   |    1
  32   |  0  |  01   |  0  |  0  |   1   |       1        |   2   |    1
  33   |  1  |  01   |  0  |  0  |   1   |       0        |   0   |    0
  34   |  0  |  01   |  0  |  0  |   1   |       0        |   0   |    0
  35   |  1  |  01   |  0  |  0  |   1   |       0        |   0   |    0
  36   |  0  |  01   |  0  |  0  |   1   |       0        |   0   |    0
  37   |  1  |  01   |  0  |  0  |   1   |       0        |   0   |    0
  38   |  0  |  01   |  0  |  0  |   1   |       0        |   0   |    0
  39   |  1  |  01   |  0  |  0  |   1   |       0        |   0   |    0
  40   |  0  |  01   |  0  |  0  |   1   |       0        |   0   |    0
  41   |  1  |  01   |  0  |  0  |   1   |       0        |   0   |    0
  42   |  0  |  01   |  0  |  0  |   1   |       0        |   0   |    0
  43   |  1  |  01   |  0  |  0  |   1   |       0        |   0   |    0
  44   |  0  |  01   |  0  |  0  |   1   |       0        |   0   |    0
  45   |  1  |  01   |  0  |  0  |   1   |       0        |   0   |    0
  46   |  0  |  01   |  0  |  0  |   1   |       0        |   0   |    0
  47   |  1  |  01   |  0  |  0  |   1   |       0        |   0   |    0
  48   |  0  |  01   |  0  |  0  |   1   |       0        |   0   |    0
  49   |  1  |  01   |  0  |  0  |   1   |       0        |   0   |    0
  50   |  0  |  01   |  0  |  0  |   1   |       0        |   0   |    0
  51   |  1  |  01   |  0  |  0  |   1   |       0        |   0   |    0
  52   |  1  |  10   |  0  |  0  |   1   |       0        |   0   |    0
  52   |  0  |  10   |  0  |  0  |   1   |       0        |   0   |    0
  53   |  1  |  10   |  0  |  0  |   2   |       1        |   0   |    1
  54   |  0  |  10   |  0  |  0  |   2   |       1        |   0   |    1
  55   |  1  |  10   |  0  |  0  |   2   |       1        |   1   |    1
  56   |  0  |  10   |  0  |  0  |   2   |       1        |   1   |    1
  57   |  1  |  10   |  0  |  0  |   2   |       1        |   2   |    1
  58   |  0  |  10   |  0  |  0  |   2   |       1        |   2   |    1
  59   |  1  |  10   |  0  |  0  |   2   |       0        |   0   |    0
  60   |  0  |  10   |  0  |  0  |   2   |       0        |   0   |    0
  61   |  1  |  10   |  0  |  0  |   2   |       0        |   0   |    0
  62   |  0  |  10   |  0  |  0  |   2   |       0        |   0   |    0
  63   |  1  |  10   |  0  |  0  |   2   |       0        |   0   |    0
  64   |  0  |  10   |  0  |  0  |   2   |       0        |   0   |    0
  65   |  1  |  10   |  0  |  0  |   2   |       0        |   0   |    0
  66   |  0  |  10   |  0  |  0  |   2   |       0        |   0   |    0
  67   |  1  |  10   |  0  |  0  |   2   |       0        |   0   |    0
  68   |  0  |  10   |  0  |  0  |   2   |       0        |   0   |    0
  69   |  1  |  10   |  0  |  0  |   2   |       0        |   0   |    0
  70   |  0  |  10   |  0  |  0  |   2   |       0        |   0   |    0
  71   |  1  |  10   |  0  |  0  |   2   |       0        |   0   |    0
  72   |  0  |  10   |  0  |  0  |   2   |       0        |   0   |    0
  73   |  1  |  10   |  0  |  0  |   2   |       0        |   0   |    0
  74   |  0  |  10   |  0  |  0  |   2   |       0        |   0   |    0
